City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,Owen Sound,44.5672,-80.9435,25.97,83,100,20.0,CA,2023-01-13 21:35:44
268,Taoudenni,22.6783,-3.9836,68.18,22,0,12.08,ML,2023-01-13 21:38:04
269,Flin Flon,54.7682,-101.865,12.04,92,100,9.22,CA,2023-01-13 21:38:04
270,Jumla,29.2747,82.1838,31.03,64,7,4.16,NP,2023-01-13 21:38:05
271,Talnakh,69.4865,88.3972,-37.61,87,19,6.96,RU,2023-01-13 21:38:06
272,Nha Trang,12.25,109.1833,75.2,93,67,2.77,VN,2023-01-13 21:38:06
273,Vardo,70.3705,31.1107,28.38,86,0,19.57,NO,2023-01-13 21:38:07
274,Praia Da Vitoria,38.7333,-27.0667,64.65,82,40,27.47,PT,2023-01-13 21:38:08
275,Mae Sot,16.7167,98.5667,56.62,90,2,1.12,TH,2023-01-13 21:38:08
276,Sorland,67.667,12.6934,37.26,61,97,22.57,NO,2023-01-13 21:38:09
277,College,64.8569,-147.8028,1.58,80,75,0.0,US,2023-01-13 21:39:09
278,Poum,-20.2333,164.0167,80.76,71,14,16.8,NC,2023-01-13 21:39:10
279,Nanortalik,60.1432,-45.2371,13.91,68,9,7.09,GL,2023-01-13 21:39:10
280,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-7.01,84,40,6.71,RU,2023-01-13 21:39:10
281,Lishui,28.4604,119.9103,62.91,99,87,0.47,CN,2023-01-13 21:39:11
282,Vawkavysk,53.1561,24.4513,39.88,91,100,13.29,BY,2023-01-13 21:39:11
283,Dawei,14.0833,98.2,66.65,91,1,3.24,MM,2023-01-13 21:39:12
284,Portland,45.5234,-122.6762,55.72,93,100,9.22,US,2023-01-13 21:37:48
285,Bozeman,45.6796,-111.0386,51.22,70,0,4.61,US,2023-01-13 21:38:31
286,Oktyabrskoye,43.0645,44.7417,6.94,92,4,0.0,RU,2023-01-13 21:39:13
287,Noumea,-22.2763,166.4572,82.0,99,57,10.51,NC,2023-01-13 21:36:41
288,Inta,66.0317,60.1659,17.73,94,100,15.73,RU,2023-01-13 21:39:13
289,Trat,12.5,102.5,71.6,93,88,0.83,TH,2023-01-13 21:39:14
290,Richards Bay,-28.783,32.0377,75.2,87,0,12.35,ZA,2023-01-13 21:39:14
291,Auki,-8.7676,160.7034,77.88,88,100,3.85,SB,2023-01-13 21:39:14
292,Dombarovskiy,50.7587,59.5386,-1.3,96,28,6.8,RU,2023-01-13 21:39:15
293,Uige,-7.6087,15.0613,63.3,97,89,2.3,AO,2023-01-13 21:39:15
294,Malakal,9.5334,31.6605,76.91,25,10,5.64,SS,2023-01-13 21:39:16
295,Malaryta,51.7905,24.074,40.75,92,100,11.92,BY,2023-01-13 21:39:16
296,Wanning,18.8003,110.3967,69.4,94,14,9.8,CN,2023-01-13 21:39:17
297,Faya,18.3851,42.4509,55.51,81,6,4.68,SA,2023-01-13 21:39:17
298,Shaunavon,49.6501,-108.4181,35.38,78,34,14.83,CA,2023-01-13 21:39:17
299,Kingaroy,-26.5333,151.8333,71.24,68,68,11.97,AU,2023-01-13 21:39:18
300,Mamontovo,52.7055,81.6244,3.52,91,100,18.81,RU,2023-01-13 21:39:18
301,Xiaolingwei,32.0333,118.85,49.98,83,100,16.6,CN,2023-01-13 21:39:18
302,Toamasina,-18.1667,49.3833,77.0,94,75,4.61,MG,2023-01-13 21:39:19
303,Kahului,20.8947,-156.47,81.97,56,20,5.01,US,2023-01-13 21:39:19
304,Abu Zabad,12.35,29.25,65.12,23,7,12.44,SD,2023-01-13 21:39:20
305,Scarborough,54.2797,-0.4044,43.34,81,77,8.01,GB,2023-01-13 21:39:20
306,Elko,41.0002,-115.5012,36.23,73,100,4.0,US,2023-01-13 21:39:20
307,Mineiros,-17.5694,-52.5511,70.75,88,73,8.34,BR,2023-01-13 21:39:21
308,General Pico,-35.6566,-63.7568,87.31,13,0,5.75,AR,2023-01-13 21:39:21
309,Berlevag,70.8578,29.0864,35.6,74,0,18.41,NO,2023-01-13 21:37:38
310,Goderich,43.7501,-81.7165,27.91,80,100,12.66,CA,2023-01-13 21:39:22
311,Santa Barbara,34.7333,-120.0343,59.34,59,100,8.05,US,2023-01-13 21:39:22
312,Poronaysk,49.2167,143.1167,-4.11,81,11,14.05,RU,2023-01-13 21:39:23
313,Vila Velha,-20.3297,-40.2925,80.55,84,40,18.41,BR,2023-01-13 21:39:23
314,Nurota,40.5614,65.6886,0.75,68,1,5.7,UZ,2023-01-13 21:39:23
315,Zyryanka,65.75,150.85,-28.43,98,100,8.93,RU,2023-01-13 21:39:24
316,Simao,22.7886,100.9748,46.44,64,0,0.54,CN,2023-01-13 21:39:24
