City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Fairbanks,US,64.8378,-147.7164,2.08,80,20,4.61,few clouds
159,Suntar,RU,62.1444,117.6319,-66.84,100,86,2.08,overcast clouds
160,Pombas,CV,17.1503,-25.0201,69.84,77,13,12.55,few clouds
161,Lagoa,PT,39.05,-27.9833,56.32,70,66,11.88,broken clouds
162,Parrita,CR,9.5201,-84.3225,77.67,82,52,2.35,broken clouds
163,Kondinskoye,RU,59.6481,67.41,9.25,87,75,8.93,broken clouds
164,Castro,BR,-24.7911,-50.0119,65.34,97,92,3.62,overcast clouds
165,Constitucion,CL,-35.3333,-72.4167,57.29,88,5,7.18,clear sky
166,Tougue,GN,11.4667,-11.6,67.3,18,25,2.39,scattered clouds
167,Torrington,US,41.8007,-73.1212,40.98,60,100,1.01,overcast clouds
168,Zharkovskiy,RU,55.849,32.2697,33.31,97,100,11.92,light snow
169,Tomatlan,MX,19.9333,-105.25,73.45,60,98,7.14,overcast clouds
170,Burns Lake,CA,54.2331,-125.7533,28.99,96,100,5.1,overcast clouds
171,Strezhevoy,RU,60.7333,77.5889,3.18,97,100,4.74,overcast clouds
172,Ariquemes,BR,-9.9133,-63.0408,73.35,88,70,1.16,broken clouds
173,Naze,JP,28.3667,129.4833,55.49,69,88,14.03,overcast clouds
174,Makakilo City,US,21.3469,-158.0858,81.68,64,7,7.31,clear sky
175,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.58,88,5,13.06,clear sky
176,Jieshi,CN,22.8134,115.8257,51.94,62,88,10.45,overcast clouds
177,Punta Umbria,ES,37.1821,-6.9661,52.23,65,96,23.6,overcast clouds
178,East London,ZA,-33.0153,27.9116,75.24,95,83,3.36,broken clouds
179,Pinega,RU,64.7001,43.3936,15.75,95,88,7.67,overcast clouds
180,Narsaq,GL,60.9167,-46.05,12.42,68,100,8.86,overcast clouds
181,Caluquembe,AO,-13.7833,14.6833,58.66,93,99,3.71,overcast clouds
182,Yuanping,CN,38.7153,112.7575,9.46,81,2,0.36,clear sky
183,Candolim,IN,15.5181,73.7626,69.8,94,3,2.3,mist
184,Mananjary,MG,-21.2167,48.3333,74.44,86,68,3.13,moderate rain
185,Dwarka,IN,22.2394,68.9678,65.48,41,19,13.09,few clouds
186,Alofi,NU,-19.0595,-169.9187,85.89,79,75,8.05,light rain
187,Rorvik,NO,64.8621,11.2373,33.91,69,20,8.05,few clouds
188,Komsomolskiy,UZ,40.4272,71.7189,14.72,79,4,4.61,mist
189,Meulaboh,ID,4.1363,96.1285,71.82,76,100,4.92,overcast clouds
190,Fortuna,US,40.5982,-124.1573,52.93,72,0,8.05,clear sky
191,Torbay,CA,47.6666,-52.7314,49.39,97,100,16.11,mist
192,Valentin Gomez Farias,MX,28.2167,-106.5833,52.43,55,57,27.02,broken clouds
193,Teguldet,RU,57.3064,88.1667,-39.77,100,31,2.66,scattered clouds
194,Barrow,US,71.2906,-156.7887,-7.58,84,100,21.85,haze
195,Iwanai,JP,42.9744,140.5089,26.29,89,100,10.69,light snow
196,Jaisalmer,IN,26.9147,70.9181,52.84,16,0,7.99,clear sky
197,Norman Wells,CA,65.282,-126.8329,-2.16,78,20,4.61,few clouds
198,Vila Velha,BR,-20.3297,-40.2925,76.95,92,75,5.75,broken clouds
199,Orodara,BF,10.9492,-4.9342,71.44,16,1,4.27,clear sky
200,Lasa,IT,46.6166,10.7002,31.03,94,99,1.97,overcast clouds
201,Coquimbo,CL,-29.9533,-71.3436,64.13,77,0,9.22,clear sky
202,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-1.61,65,0,11.18,clear sky
203,Denpasar,ID,-8.65,115.2167,78.46,100,75,4.61,broken clouds
204,Zavetnoye,RU,47.1194,43.8903,31.28,92,97,14.63,overcast clouds
205,Shimanovsk,RU,52.0,127.7,-32.37,100,25,4.03,scattered clouds
206,Atar,MR,20.5169,-13.0499,69.49,15,93,7.74,overcast clouds
207,Palmer,US,42.1584,-72.3287,41.99,79,100,0.0,overcast clouds
208,Abu Samrah,SY,35.3029,37.1841,48.07,89,7,4.16,clear sky
209,Mecca,SA,21.4267,39.8261,67.93,53,76,4.54,broken clouds
210,Umm Kaddadah,SD,13.6017,26.6876,60.8,27,80,14.03,broken clouds
211,Galveston,US,29.3669,-94.9669,71.69,91,100,10.36,fog
212,Grand Gaube,MU,-20.0064,57.6608,78.39,77,96,8.99,light rain
213,Kangaatsiaq,GL,68.3065,-53.4641,-14.51,96,48,10.4,scattered clouds
214,Yugorsk,RU,61.3133,63.3319,7.27,88,49,7.2,scattered clouds
215,Buin,CL,-33.7333,-70.75,78.42,44,1,5.84,clear sky
216,Winnemucca,US,40.973,-117.7357,33.85,60,0,8.05,clear sky
217,Finote Selam,ET,10.7,37.2667,56.86,59,11,2.86,few clouds
218,Zaranj,AF,30.9667,61.8833,37.36,86,100,2.89,moderate rain
219,Saint-Philippe,RE,-21.3585,55.7679,76.59,82,93,14.09,overcast clouds
220,Samarai,PG,-10.6167,150.6667,84.4,71,79,13.15,broken clouds
221,Karratha,AU,-20.7377,116.8463,82.22,70,99,12.28,overcast clouds
222,Najran,SA,17.4924,44.1277,66.85,48,33,5.55,scattered clouds
223,Dunyapur,PK,29.7995,71.7196,47.26,19,21,5.91,few clouds
224,Santa Cruz Del Sur,CU,20.7147,-77.9956,72.79,51,0,1.77,clear sky
225,Winslow,US,35.0242,-110.6974,37.58,65,75,14.97,broken clouds
226,Belyy Yar,RU,53.6039,91.3903,14.86,84,75,11.18,light shower snow
227,The Valley,AI,18.217,-63.0578,76.86,76,1,17.27,clear sky
228,Matam,SN,15.6175,-13.3303,77.47,13,92,10.85,overcast clouds
229,Lazaro Cardenas,MX,17.9583,-102.2,77.59,65,88,6.53,overcast clouds
230,Bilma,NE,18.6853,12.9164,61.3,24,9,7.0,clear sky
231,Kaihua,CN,23.3687,104.28,41.07,89,100,5.64,overcast clouds
232,Charlestown,AU,-32.95,151.6667,83.68,53,3,5.01,clear sky
233,Gladstone,AU,-23.85,151.25,78.78,69,100,12.66,overcast clouds
234,Dauriya,RU,49.9333,116.8667,-8.95,100,100,2.28,overcast clouds
235,Codrington,AU,-38.2667,141.9667,59.99,77,100,17.07,overcast clouds
236,Changtu,CN,42.7788,124.0955,6.94,64,1,6.76,clear sky
237,Port Hardy,CA,50.6996,-127.4199,44.78,87,100,23.02,light rain
238,Cabras,IT,39.93,8.5314,53.44,67,34,16.96,scattered clouds
239,San Cristobal,VE,7.7669,-72.225,71.78,90,90,1.77,overcast clouds
240,Shingu,JP,33.7333,135.9833,48.94,57,100,4.03,overcast clouds
241,Krasnoselkup,RU,65.7,82.4667,-19.43,85,100,12.53,overcast clouds
242,Sioux Lookout,CA,50.1001,-91.917,14.07,92,100,12.66,overcast clouds
243,Progreso,MX,21.2833,-89.6667,82.51,77,2,12.26,clear sky
244,Yarke Pole,UA,45.608,34.3172,49.51,59,100,11.18,overcast clouds
245,Srivardhan,IN,18.0333,73.0167,66.18,58,1,3.11,clear sky
246,Corumba,BR,-19.0092,-57.6533,77.43,76,100,2.86,overcast clouds
247,Mangrol,IN,21.1167,70.1167,61.79,35,3,9.13,clear sky
248,Canon City,US,38.441,-105.2424,41.4,66,100,7.0,light rain
249,Jining,CN,35.405,116.5814,24.8,57,0,5.1,clear sky
250,Tsabong,BW,-26.0217,22.401,79.7,29,29,12.55,scattered clouds
251,Iqaluit,CA,63.7506,-68.5145,-11.31,69,100,3.44,overcast clouds
252,Saldanha,ZA,-33.0117,17.9442,62.65,96,85,5.73,overcast clouds
253,Jiaojiang,CN,28.6803,121.4428,38.37,63,45,5.03,scattered clouds
254,Yaan,NG,7.3833,8.5667,80.17,18,4,6.67,clear sky
255,Qaanaaq,GL,77.484,-69.3632,-18.17,85,85,5.37,overcast clouds
256,Tual,ID,-5.6667,132.75,83.16,74,98,10.54,overcast clouds
257,Shelburne,CA,44.0787,-80.2041,37.6,99,100,10.45,overcast clouds
258,Luderitz,NA,-26.6481,15.1594,66.36,83,49,4.36,scattered clouds
259,Rio Bueno,CL,-40.3167,-72.9667,66.34,44,60,5.5,broken clouds
260,Cuamba,MZ,-14.8031,36.5372,68.43,97,100,2.3,light rain
261,Salo,IT,45.6086,10.531,41.5,91,100,2.01,overcast clouds
262,Henties Bay,NA,-22.116,14.2845,67.59,87,99,1.92,light rain
263,Amga,RU,60.8953,131.9608,-52.46,98,100,0.92,overcast clouds
264,Lucea,JM,18.451,-78.1736,76.86,72,1,14.5,clear sky
265,Angoche,MZ,-16.2325,39.9086,76.82,87,93,3.67,moderate rain
266,Takoradi,GH,4.8845,-1.7554,79.34,82,57,6.13,light rain
267,San Policarpo,PH,12.1791,125.5072,78.84,86,100,5.61,moderate rain
268,Srednekolymsk,RU,67.45,153.6833,-37.71,97,100,5.57,overcast clouds
269,Carndonagh,IE,55.25,-7.2667,39.25,72,82,17.13,moderate rain
270,Kudat,MY,6.8837,116.8477,76.93,100,20,0.0,few clouds
271,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,68,40,3.44,scattered clouds
272,Carutapera,BR,-1.195,-46.02,75.31,89,99,5.99,overcast clouds
273,Antofagasta,CL,-23.65,-70.4,69.08,80,5,7.56,clear sky
274,Bethel,US,41.3712,-73.414,42.49,63,100,0.0,overcast clouds
275,Ponta Delgada,PT,37.7333,-25.6667,56.12,71,40,13.8,scattered clouds
276,Iralaya,HN,15.0,-83.2333,75.07,76,24,8.97,few clouds
277,Mbanza-Ngungu,CD,-5.25,14.8667,67.62,88,100,0.87,overcast clouds
278,Wilkes-Barre,US,41.2459,-75.8813,46.02,79,100,4.61,overcast clouds
279,Tuatapere,NZ,-46.1333,167.6833,68.49,55,13,5.88,few clouds
280,Valparaiso,CL,-33.0393,-71.6273,66.47,100,0,4.61,clear sky
281,Sechura,PE,-5.5569,-80.8222,73.45,65,86,13.69,overcast clouds
282,Barra Do Garcas,BR,-15.89,-52.2567,72.77,91,85,3.27,overcast clouds
283,Bitburg,DE,49.9667,6.5333,31.05,69,0,5.75,clear sky
284,Bindura,ZW,-17.3019,31.3306,64.36,98,100,4.45,overcast clouds
285,Ucluelet,CA,48.9329,-125.5528,48.09,93,100,4.0,moderate rain
286,Marsh Harbour,BS,26.5412,-77.0636,69.71,58,2,7.14,clear sky
287,Cockburn Town,TC,21.4612,-71.1419,75.56,59,8,14.67,clear sky
288,Baykit,RU,61.67,96.37,-44.9,98,24,2.75,few clouds
289,Teyateyaneng,LS,-29.1472,27.7489,66.07,27,94,5.55,overcast clouds
290,Tazovskiy,RU,67.4667,78.7,-12.64,84,100,16.69,overcast clouds
291,Rawson,AR,-43.3002,-65.1023,73.96,48,37,11.03,scattered clouds
292,Miri,MY,4.4148,114.0089,77.14,94,20,3.44,few clouds
293,Te Anau,NZ,-45.4167,167.7167,72.07,49,25,1.03,scattered clouds
294,Acajutla,SV,13.5928,-89.8275,77.32,81,71,5.1,broken clouds
295,Nouadhibou,MR,20.931,-17.0347,67.98,56,100,19.57,overcast clouds
296,Keti Bandar,PK,24.1447,67.4497,61.36,23,47,8.59,scattered clouds
297,Pushkino,RU,56.0172,37.8667,32.29,93,100,14.54,overcast clouds
298,Prosvet,RU,55.5703,65.0825,2.53,86,10,5.23,clear sky
299,Marystown,CA,47.1666,-55.1483,39.72,99,100,4.56,overcast clouds
300,Karasburg,NA,-28.0167,18.75,75.4,37,81,8.84,broken clouds
301,Paamiut,GL,61.994,-49.6678,18.25,67,100,9.08,overcast clouds
302,Flinders,AU,-34.5833,150.8552,87.06,66,43,5.99,scattered clouds
303,Bethanien,NA,-26.502,17.1583,79.84,30,63,5.82,broken clouds
304,Mazagao,BR,-0.115,-51.2894,75.25,95,71,3.78,broken clouds
305,Tsuruoka,JP,38.7217,139.8217,44.64,65,75,21.85,broken clouds
306,Cherskiy,RU,68.75,161.3,-49.54,99,58,4.36,broken clouds
307,Pevek,RU,69.7008,170.3133,-36.71,100,72,4.74,broken clouds
308,Vila,PT,42.0304,-8.1588,31.08,94,98,11.63,light snow
309,Ornes,NO,66.8689,13.7078,28.76,71,99,11.32,overcast clouds
310,Namatanai,PG,-3.6667,152.4333,82.62,69,100,5.23,overcast clouds
